商品评论,情感分析结果,评价倾向
安满品牌箱包装，非常结实哦，400克一罐，共三小罐，方便外出携带；包装箱喝罐身都标注了奶粉的冲调方法以及营养成分，宝妈们可以一目了然；包装箱顶部和罐子底部都标注了新鲜的生产日期，底部还有二维码可以查防伪；奶粉是淡黄色的，有淡淡的奶香味，不结团，入口极好哦，大宝也会喝，以后小宝就喝这款奶粉啦。还有一个月就到预产期啦，现在喝的也是安满的孕妇奶粉,0.11851143319266211,不喜欢
这个安满奶粉特别好，它是采用新西兰原装原罐进口的奶粉，自从老婆怀孕就一直喝这个奶粉，这款奶粉不像别的奶粉，有腥味道，满秩流动配方，已经买了好多罐了，质量一直都非常好。非常满意的一次购物。,0.4111201245187712,一般
正品验证：正品,0.5351762991331489,一般
营养添加：膳食纤维 dha,0.44613522920403925,一般
脂肪含量：很低,0.9000225204739014,喜欢
消化吸收：好吸收 很容易冲泡,0.9180113456297158,喜欢
口感：香甜可口  听朋友介绍安满的孕妇奶粉 担心怀孕期间营养跟不上，所以就买了两罐  喝后感觉很不错，很容易冲泡，有淡淡的奶香味，不腥，每天喝两杯，可以补充身体所需营养，喝后晚上睡觉也很好！,0.9999955929801964,喜欢
消化吸收：不便秘，肠道顺畅。,0.6013113374465945,喜欢
营养添加：添加dha，非常有营养！,0.9185463993787216,喜欢
之前喝过一次盒装的，味道比其他品牌的香很多，非常容易溶解，不挂壁也好吸收，所以特意买换装的划算些。我因为肠道消化功能不好，吃太油腻就容易拉肚子，这款奶粉喝了很柔和不便秘不拉肚，很好吸收。推荐购买！,0.875600733804517,喜欢
其他特色：罐体的盖子部分特意用了一圈塑封带，这样可以保证罐体外运输过程中避免碰撞造成爆罐，很贴心！,0.5322623517247324,一般
正品验证：底部有二维码可验证，京东出品放心购,0.012028833913161674,不喜欢
营养添加：添加也酸，DHA，营养全面,0.8466961422648573,喜欢
脂肪含量：百分之15，可以接受范围,0.8087532872741046,喜欢
口感：口感细腻香甜，不会甜腻腻那种，味道真的好,0.5323311334979589,一般
消化吸收：感觉胃很满足，宝宝也喜欢喝,0.9998594952193794,喜欢
其他特色：没有其他香精色素，很满意,0.9866117569864886,喜欢
最早很多朋友介绍的，多少有点不那么觉得这个奶粉很不错，自从怀孕之后，开始喝安满，真的很不错了，很认可了！ 都不知道买了多少罐了！！哈哈！奶粉嘛！奶香味浓郁，口感特别好！奶粉，主要在于营养配比，很不错，全面！ 现在大宝也是跟着我喝安满幼儿奶粉，还会继续支持！,0.9999999999190847,喜欢
孕中期了，肚子还是很小，担心宝宝营养跟不上，朋友介绍我喝这款孕妇奶粉，，很不错，味道淡淡的很好喝，因为孕吐的原因，什么有味道的吃喝不下，平时喝的纯牛奶现在都喝不了，一喝就要吐，但这款奶粉真挺适合我的，喝着没有想吐的感觉，反而觉得很好喝，喝完再买一罐。,0.9999999999817071,喜欢
京东物流很准时，朋友介绍的，她说大多数孕妇吃这个这款。口感挺好的，很大一罐。一天两次，一次4勺子，大概半个月吃完。闻起来挺香的。味道口感还可以，没有很大很浓香精味。吃了之后有饱腹感。而且不太上火。。。,0.9704950727163825,喜欢
今天收到货后 打开看了 很满意 扫码看了也是正品，听朋友推荐的，孕妇喝这个比较好 ，所以买来尝尝，味道不腥，有淡淡的清香味，感觉很好 以后再多买几罐囤着，我觉得孕妇喝奶粉也要搭配水果主食来吃才健康.京东自营很好，速度也很快！,0.9999867954205253,喜欢
正品验证：底部二维码扫描验证即可，信任京东正品保证,0.05261976139250546,不喜欢
营养添加：添加DHA，营养均衡,0.9872321794564505,喜欢
口感：单纯的奶味，没有其他品牌有香精味，超级好喝,0.972489443207317,喜欢
脂肪含量：可接受范围内，孕妇也要补充点脂肪,0.8905817114084091,喜欢
消化吸收：感觉喝完胃暖暖的，好奶粉,0.9960364093607837,喜欢
其他特色：习惯了他们家的奶粉味，超级好喝的，五星推荐,0.964037398786378,喜欢
已经喝第二桶了，粉质很细腻，口感微甜的那种，味道有一点点腥味，本人对这种味道很敏感，味道重的喝下去就会吐，这款的味道刚刚好，所以一直都喝这个牌子，营养添加的也很均衡，能满足孕期所需的各种营养，是正品的，比实体店要便宜好多,0.9932075464480761,喜欢
正品验证：是正品的，买了三罐了,0.2837592078597505,不喜欢
脂肪含量：符合标准的，,0.7914666097408188,喜欢
口感：甜甜的，冲水很容易化,0.9554709413186736,喜欢
营养添加：都很不错，都符合标准,0.9812042354979239,喜欢
其他特色：孕期一直喝这个牌子，自营店，值得信赖,0.9991699004043472,喜欢
消化吸收：很好吸收，很不错,0.9974373831883573,喜欢
上次买的还有两三天的量，买回来先备着，这次从下单到拿货两天时间，以前都是一天就到货了，可能由于卖的比较好吧，拿到货也完好无缺的，没有破损，里面也是很好，一直是在这里买的，相信是正品，瓶身的有二维码，验证过了。,1.2359038860432214e-05,不喜欢
买了好几次了，二胎5个月了，这是二胎买的第二次，上次2罐吃了一罐半，11月开封的1月份没吃完就扔了，怕长霉，后面1罐20天就吃完了。现在又买了2罐，本来是从武汉发货的，这次疫情期看到是在上海发货，也就4天就到了。这款口味很甜，一胎吃的是美素佳儿，也很甜，香草冰淇淋味的。君乐宝的也吃过试用装，那个不甜，但有点化不开，安满的不会。其实三款都很好，看个人选择吧。,8.745175948954298e-07,不喜欢
发货忒快，快递也特快，昨天下单，今天到了。包装盒挺结实，奶粉罐没有磕碰，没有破损，干干净净的。这个奶粉还不错，冲泡比较容易，味道和口感都挺好的，我家宝宝不到两岁，非常喜欢喝。喝了一半的时候我拿来拍照，宝宝自己来抢奶瓶，关键是他已经吃过晚饭了，已经很饱了。喝完了还跟我要，还不咋会说话，就指着奶粉罐，再指他自己，跟我一直说&ldquo;喝！喝！喝！&rdquo;怕他撑到，没敢再给喝了，还哭了一鼻子。反正宝宝是非常喜欢这款奶粉的。,0.9999999993786621,喜欢
这款孕妇奶粉喝了3桶了，粉质很容易冲泡，甜度刚好，没有腥味儿，个人觉得好喝，喜欢把黑芝麻一类的一起冲泡，增加营养的同时也更香！在京东自营购买很放心，价格也很合适，物流超快，京东快递人员的服务也很好！总之特别喜欢在京东买买买，多做活动哦！,0.9983277878485934,喜欢
原来怀孕的时候也喝的这个安满，味道可以，不会腥，毕竟怀孕的时候对味道很敏感。喝了也不会拉肚子，不上火，很容易就溶解。现在哺乳期，也喝这个，喝着也划算，补钙补充营养，哺乳期很容易饿，有的时候早上冲一杯喝，再吃早餐,0.99967483460658,喜欢
正品验证：在实体店购买过，和京东的一样，京东购买更加优惠，更加方便便捷。,0.04916628708313542,不喜欢
营养添加：配料表营养全面，吃着也觉得很好。,0.9898916039085894,喜欢
脂肪含量：吃久了也没觉得体重明显比之前增长快。,0.8955096731874016,喜欢
口感：口感是最喜欢的，味道很香甜，浓郁，没有腥味，反胃时喝了也不会想吐难受，个人特别喜欢的味道。,0.5514787697486092,一般
消化吸收：喝了没出现不好消化的情况，没有上火，便秘等。,0.9364996636106339,喜欢
这款奶粉味道好，纯，没异味。老婆怀孕期间，胃口不好，之前买的奶粉喝不惯，就这款喝了没吐。现在生小孩了脯乳期继续喝。还有另外一个是价格划算，实惠。配方大概看了，感觉都差不多。京东孕妇奶粉销量也很高，相信大众的眼光。最近，物流超快！,0.9999984497396704,喜欢
京东的速度实在太快了，救了急了，价格比猫高一点，但主要是物流快，不用等，送货上门，正品保障。家里没有容器量200ml水，于是请出卷尺测得杯口内径3.5cm，内部高12cm，容积461.814ml，一半杯的水就合适了，完美，口感不错。,0.0019370038781534316,不喜欢
正品验证：上面包装有二维码，扫了是正品，包装也很严实。,0.04828891577548644,不喜欢
营养添加：闻着味道不错，奶粉看着也很细腻。,0.9979605363378374,喜欢
消化吸收：看着也不错，好大一罐，好了还会再买的。,0.9809844421929584,喜欢
安满孕妇奶粉我已经是喝第二罐了，第一罐还是在超市买的，死贵死贵的，但是为了宝宝的营养没办法，都是临时买的。后来快喝完了又懒得跑超市就直接京东下单了，价格实在是比超市里便宜好多啊，而且送货上门，早上下单晚上已经到货了！真是不要太方便了！我觉得两罐味道都一样，味道一点都不腥比较接近牛奶，而且就算凉水也能融化好快，我是凉水一半先融化再放热水。每天两杯，宝宝产检一直也很健康，棒棒的！我不止只会直接冲泡来喝，我还用来煮麦片，煮红枣等等来做早餐，也是很美味，看着它表面会结膜感觉营养就很丰富了，推荐！,0.7141230613801094,喜欢
孕反严重，吃不下去别的东西，朋友推荐这款安满孕妇奶粉，喝了感觉很好吸收，口感香浓，没有腥味，添加的配方也很全面，扫码验证确实是新西兰牧场，重点是喝了不会吐，胃里很舒服，早期全靠它续命了&hellip;&hellip;对口感方面有要求推荐这款哦真的不错?,0.9999987592933511,喜欢
孕中期，害怕宝宝营养跟不上，做了很多功课，好多孕妈都推荐这一款，便选的安满这款奶粉，刚收到，马上打开尝尝，奶粉很容易冲化，淡淡的奶香，一点也不腥，口感很好，各种维生素，叶酸，DHA都有了，挺不错了。推荐孕妈选择这款奶粉，好喝，营养丰富！,0.9999957003862252,喜欢
正品验证：确实是正品，跟专卖店的一样。,0.37752501215859413,不喜欢
营养添加：添加了dh a。和乳双歧杆菌。和孕期妈妈对一些营养素的需求。比如叶酸，维生素b，六铁。,0.8688196065795802,喜欢
脂肪含量：脂肪含量8.8克。,0.916984795588989,喜欢
口感：口感是淡淡的奶香，一点儿都不腻。即使是怀孕反应严重的妈妈，也特别适合喝。,0.9999887005690311,喜欢
消化吸收：非常容易消化，不会给肠胃造成负担。,0.7507751347112309,喜欢
本来孕期胃口不太好，也不知道选择什么牌子的奶粉，机缘巧合之下，听说了安满这个牌子。我孕初期胃口超级不好，好怕腥的东西，所以怕浪费，一开始买了盒装的来试试口味，现在换成罐装啦??口味不会太甜，不用担心导致孕妇的糖尿病;也不会有一股奶腥味，容易冲开，不结块，喝起来也不会有粉状感。非常不错，担心宝宝营养不够，吃完还会再回购的,0.00022883678601759438,不喜欢
正在哺乳期中的我，奶水不足，又害怕宝宝营养跟不上，便选的安满这款奶粉，前阵子收到了，马上打开尝尝，奶粉很容易溶解，口感很好，各种维生素，叶酸，DHA都有了，挺不错的。,0.9991805469863885,喜欢
正品验证：扫了二维码是正品，没有问题！,0.1793134687658764,不喜欢
脂肪含量：脂肪含量不高，长胎不长肉，一直在喝！,0.875024374246341,喜欢
口感：没有异味，很喜欢喝，有些孕妇奶粉有腥味喝着就想吐！,0.9817379999888697,喜欢
消化吸收：消化易吸收！,0.9539440584040516,喜欢
营养添加：营养全面！,0.9307117192963156,喜欢
其他特色：包装完好，没有损坏，京东快递度快，又送货上门，对我这个孕妇来说非常方便！,0.7686164120536219,喜欢
奶粉很细腻，奶腥味也很淡，不会引起反感，容量是八百克每桶，也算是比较中规中矩的，价格合适，性价比比较高，罐装的，保存和使用都很方便，营养成分也挺不错的，口感顺滑，每天都要和两杯，很容易冲调，不会起疙瘩，物流配送及时，配送员很热情。,0.9993644303867152,喜欢
收到了，快喝了一半了，很棒的奶粉，腥味不重，现在孕4个月，每天上午一杯下午一杯，补充营养，不想吃那个复合维生素，太大颗了，很难吞咽，味道也不好闻，这个奶粉刚好能替复合维生素，补充孕期一天的营养，还能补充叶酸，孕期必备,0.11282760959622762,不喜欢
之前就怕腥味太重，没想到喝一杯就爱上了，甜度适中，口感很好，过了孕初期胃口大开，这款孕妇奶粉能满足孕妇每日所需营养，是针对孕妇、计划怀孕的女性和哺乳期女性来配制，使用新西兰奶源生产制造的专业奶粉，而且这款吃了不会发胖哦，含有益生菌利于肠道消化。,0.9482134976759187,喜欢
很喜欢在京东购物，不仅物好，物流也快，上午拍下午到，家里人都觉得不可思议！昨晚奶粉到了，我弟妹就打开喝了，感觉不错，她现在是怀孕初期，但是口感就不一样了，每天早晚都呕，以前喝的奶粉都不习惯了，此牛奶没有奶腥味，味道淡，但营养丰富，各种维生素，叶酸，DHA，我弟妹特别满意，今早我弟妹还让我买呢，让我喝呢，以后就是你家了。,0.28309937085633663,不喜欢
京东的物流很快，隔天就到了，包装完好，没有破损。奶粉非常好，喝了这个奶粉后，再喝别的，就喝不进去，这个奶粉虽然不是加香精那种的特别香，但是口感很丝滑，气味也不腥，味道特别纯！也不上火，很划算！需要的可以购买。,0.9968026031586394,喜欢
这款奶粉我喝了之后没有胀气的感觉，营养添加很全面，喝两杯有1000毫克的钙，完全满足了日常所需，在热水里面很好搅拌均匀，不易结块，这款是全脂奶粉，我一般是早晚各喝一杯，甚至还用它做过酸奶，都非常好，现在家里还有4罐。,0.999978987987157,喜欢
奶粉收到了，从孕期一直吃他家奶粉，很不错，媳妇跟宝宝都吃着很好，营养够用，好消化，溶解充分，京东自营品质有保障，也有评价上火的，跟体质有关吧，个人很满意,0.999138282122558,喜欢
1、味道清淡，*甜。,0.015141041948536826,不喜欢
2、挺好喝，没有腥味，奶香味足!,0.9137533873977035,喜欢
3、口味还可以，果然不腥。,0.3491967606729227,不喜欢
4、奶粉味道不是非常浓郁，淡淡的甜香，易溶解，配着油条一起喝，营养棒棒的。,0.9922629195611093,喜欢
5、平时喝不了纯奶，会拉肚子，尤其是孕期闻到奶腥味就想吐，这个倒是没事。,0.03649718698160975,不喜欢
6、奶粉很容易泡开，味道好，一点也不腥，孕早期就在吐，喝点牛奶*强营养。,0.23164217699448308,不喜欢
7、怀大宝就是喝安满的牛奶，不腥，很好喝，这次怀二胎又来了，还是一样的味道，很好喝，棒棒哒。,0.9829086201332535,喜欢
8、奶粉质量比较好，冲出来没有颗粒，很容易融化，不过有点甜，味道，清淡一点就好了。,0.2990061249911582,不喜欢
奶粉质量特别好，一直在喝这个牌子的孕妇奶粉，口味清淡，也不担心孕吐，营养丰富充足，每天八勺子，也不用单独补充dha了，含有益生菌，不会便秘，特别喜欢。包装非常精致美观，封口盖子密封型更高，不怕奶粉受潮，结块。物流速度也是越来越快越来越好，快递小哥配送很及时，昨天晚上下单，第二天就到了，速度真是太快了。客服服务也很好，第一时间解决所有问题，赞赞哒,0.8973642846907798,喜欢
很早以前就已经收到货了，没有空上来评价。  以前怀一胎的时候也是喝这个奶粉味道比较清淡一点吧，   营养也比较全面   孕吐的时候可以补充胎儿的各种营养。,0.9452941710412686,喜欢
奶粉很不错，宝宝喝了消化睡眠都很好，奶粉奶源比较放心，含有益生菌和益生元，良好的营养基础是营养吸收的源泉，安满奶粉营养全面，奶味纯正，是宝宝最佳的选择，奶粉溶解性比较好，喝了也没有上火的情况，验证了是正品,0.9999999999893074,喜欢
正品验证：国产正品和母婴店卖的完全一样，去对比过，这个可以保真的,0.04606876213389388,不喜欢
营养添加：具体不知道，看看效果再说，原装进口的，还有母婴店的，京东国产都买过，希望对宝宝好吧，呵呵,0.2571476031542901,不喜欢
口感：口感还可以，微甜，我也尝了一口，没有膻味,0.062164563161611675,不喜欢
消化吸收：吸收很好，很舒服不拉肚子,0.9696293217333734,喜欢
第一胎也喝安满，那时候还没出这个升级版。现在二胎看到有这个升级版，对比过旧版本，营养更全面了。口感也很好。会继续关注的。很好！,0.9942006439206602,喜欢
正品验证：京东自营的东西，正品无疑。,0.09789682117505205,不喜欢
营养添加：这款奶粉营养很全面，该有的配方和个别强化配方都有，营养丰富。,0.9978942133357361,喜欢
脂肪含量：脂肪含量不太高，能有效保持身材。,0.5828915959201327,一般
口感：最主要的是口感清淡，有淡淡的冰淇淋的味道，另外奶香味足，味道很好。,0.5861753081238712,一般
消化吸收：容易消化吸收，喝了这么久了，基本不上火。,0.958997107566977,喜欢
奶粉收到了，已经喝了几天了，口感还不错，很多孕妈都推荐这款安满奶粉，喝起来还不错，没有腥味，看详情说奶粉还富含叶酸DHA及多种维生素和矿物质，还减少40%的脂肪，补充孕期所需各种营养，产地是新西兰进口奶粉，物流也很快，第二天就收到了。,0.9999924173186948,喜欢
正品验证：京东自营必是正品，这方面我从来不担心,0.049902750478952984,不喜欢
营养配方：这款奶粉营养配方很全面,0.8508290004003065,喜欢
消化吸收：宝宝喝了不上火便秘，吸收可以,0.9979577129835571,喜欢
溶解性：溶解度好,0.6670789396184037,喜欢
其他特色：罐子紫色很好看,0.9374856140664313,喜欢
"""""",0.5,一般
这款奶粉真的非常不错，京东自营正品保障，我没有担心过，这款奶粉还是由安满孕妇奶粉得知的，真的很不错，小孩喝了消化吸收好，不上火不便秘，奶粉有点腥味但是不影响冲泡后的奶味，很不错，而且京东也太好了吧，买奶粉还送了5片纸尿裤试用装，小孩刚好可以用，大爱京东。真的是太赞了，网购选择京东平台，我放心，我要声明，我不是托，哈哈，在京东自营购物的便利和优惠，谁买谁知道。,0.033898681173779144,不喜欢
大大小小物品基本都在京东自营下单，包括小孩的奶粉，纸尿裤，通通自营，真的是太给力了，必须支持！我爱京东！表白表白，哈哈,0.004039898945228382,不喜欢
这个刚刚新入手的安满（A**um）智孕宝品牌孕妇配方奶粉，味道非常好，老婆非常喜欢营养丰富，前几天弱鸡弱鸡的，查血显示蛋白到底正常下限，吃了一阵子后，脸色都好很多。关键是，对于孕吐严重的人来说，一样的一款产品，能够补充很多能力，很多营养物质。一罐就有800克，有勺子，4勺子配200ml水，喝一餐，一天要个好几次！好家伙！这个是新西兰原装进口的产品是个很好的货，质量杠杠的也是很不错，经过专业鉴定的确是正品。做工精美绝伦，简直鬼斧神工，手感非常好。活动价格，力度非常非常大，算起来很便宜，很是喜欢，商家发货非常快快速，物流也的确是超级给力，很快就到了，商家服务态度热情，很好好，很周到！！！很不错的一次购物体验，下次再来购买。,0.9999158692341361,喜欢
正品验证：新西兰原装进口，正品,0.24506464878963907,不喜欢
营养添加：丰富,0.8727192221463104,喜欢
口感：非常好，很值很喜欢,0.9763146842796401,喜欢
消化吸收：比较快，不拉肚子,0.8211278823219698,喜欢
我现在是孕8个多月了，之前是喝的其他牌子的孕妇奶粉，第一次买安满这个牌子的孕妇奶粉，虽然价格比另一个牌子的便宜很多，但是感觉营养成分啊，粉质那些都还挺不错的。这款奶粉的粉质很细腻，很容易溶于水的，不会结块，然后味道也还不错哦！,0.9995799546543099,喜欢
正品验证：刚刚收到了，已经验货了。是正品。很好很满意，这个味道我很喜欢,0.9901985858035883,喜欢
奶粉收到了，京东很给力，促销价格便宜，一直京东买他家的奶粉，孕妇的就买了一堆，孩子出生一条龙下来了，媳妇孕期反应大，喝他家奶粉很顺口，宝宝也喝着没问题，就是价格波动太大了，宝宝喝着顺口也不打算换牌子了，喝着看吧！辛苦快递师傅了！,0.9999908494244113,喜欢
安满智孕宝孕妇配方奶粉，专为怀孕和哺乳期妇女设计，为妈妈们在怀孕期补充营养，保证胎儿的健康成长。一直被妈妈们推荐为孕妇奶粉第一品牌，拥有不错的口碑。我从孕期第4个半月开始吃，平常也会纯牛奶交替着喝，如今已经喝了3罐了。中间也有喝过一次美素佳儿的孕妇奶粉，个人觉得有很大的奶腥味儿，而这款安满智孕宝孕妇配方奶粉，味道比较清甜，很适合孕期这段对气味敏感的时期。身边的孕妇朋友，我也都是推荐的这款，大家反响也都很不错。每天保证早晚各一杯，真的是一款能做到长胎不长肉的奶粉，在价格方面也是很实惠经济。同时，安满智孕宝孕妇配方奶粉是使用新西兰奶源进行制造的，非常可靠。总之，这款奶粉将会是我孕期一直会选择喝下去的品牌，真的是为我们孕妈妈们量身定做的一款奶粉！,1.0,喜欢
